SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
513399,ORDE INDUSTRIES LTD.,Delisted,Z,10.00,NA,,ORDEIND,Equity,https://www.bseindia.com/stock-share-price/orde-industries-ltd/ordeind/513399/,Orde Industries Ltd,
513401,ASHIANA ISPAT LTD.,Active,X,10.00,INE587D01012,Iron & Steel Products,ASHIS,Equity,https://www.bseindia.com/stock-share-price/ashiana-ispat-ltd/ashis/513401/,Ashiana Ispat Limited,25.73
513403,P.M.TELELINNKS LTD.,Active,X,10.00,INE092C01015,Iron & Steel Products,PMTELELIN,Equity,https://www.bseindia.com/stock-share-price/pmtelelinnks-ltd/pmtelelin/513403/,P.M. Telelinnks Limited,6.65
513405,PENNAR ALUMINIUM CO.LTD.,Delisted,Z,10.00,INE057C01018,Aluminium,PENNARALUM,Equity,https://www.bseindia.com/stock-share-price/pennar-aluminium-coltd/pennaralum/513405/,Pennar Aluminium Co. Ltd,1.12
513406,RAJ IRRIGATION PIPES & FITTINGS LTD.,Delisted,P,10.00,INE649D01010,Plastic Products - Industrial,RAIPF,Equity,https://www.bseindia.com/stock-share-price/raj-irrigation-pipes--fittings-ltd/raipf/513406/,Raj Irrigation Pipes & Fittings Ltd,6.59
513408,RAJINDER ALLOYS LTD.,Delisted,Z,10.00,NA,,RAJINAL,Equity,https://www.bseindia.com/stock-share-price/rajinder-alloys-ltd/rajinal/513408/,Rajinder Alloys Ltd,
513412,ALCOBEX METALS LTD.,Delisted,P,10.00,NA,,ALCOBMT-B,Equity,https://www.bseindia.com/stock-share-price/alcobex-metals-ltd/alcobmt-b/513412/,Alcobex Metals Ltd,20.25
513414,Splendid Metal Products Ltd,Delisted,Z,5.00,INE215G01021,Iron & Steel Products,SMPL,Equity,https://www.bseindia.com/stock-share-price/splendid-metal-products-ltd/smpl/513414/,Splendid Metal Products Limited,9.63
513418,Smiths & Founders (India) Limited,Active,X,1.00,INE728B01032,Castings & Forgings,SMFIL,Equity,https://www.bseindia.com/stock-share-price/smiths--founders-(india)-limited/smfil/513418/,Smiths & Founders (India) Limited,53.34
513420,LADAM STEELS LTD.,Delisted,Z,10.00,NA,,LADAMST,Equity,https://www.bseindia.com/stock-share-price/ladam-steels-ltd/ladamst/513420/,Ladam Steels Limited,
513422,BLOOM INDUSTRIES LTD.,Active,XT,10.00,INE373E01015,Iron & Steel Products,BLOIN,Equity,https://www.bseindia.com/stock-share-price/bloom-industries-ltd/bloin/513422/,Bloom Industries Ltd,21.95
513424,ELLORA STEELS LTD.,Delisted,Z,10.00,NA,,ELLOSTL,Equity,https://www.bseindia.com/stock-share-price/ellora-steels-ltd/ellostl/513424/,Ellora Steels Limited,
513428,TRINETRA CEMENT LTD.,Delisted,XT,10.00,INE031L01014,,TRINETRA,Equity,https://www.bseindia.com/stock-share-price/trinetra-cement-ltd/trinetra/513428/,TRINETRA CEMENT LIMITED,20.36
513430,Maitri Enterprises Ltd,Active,XT,10.00,INE501L01024,Aluminium,MAITRI,Equity,https://www.bseindia.com/stock-share-price/maitri-enterprises-ltd/maitri/513430/,Maitri Enterprises Limited,14.52
513434,TATA METALIKS LTD.,Active,A,10.00,INE056C01010,Pig Iron,TATAMETALI,Equity,https://www.bseindia.com/stock-share-price/tata-metaliks-ltd/tatametali/513434/,Tata Metaliks Ltd,3340.43
513436,SHAH ALLOYS LTD.,Active,B,10.00,INE640C01011,Iron & Steel Products,SHAHALLOYS,Equity,https://www.bseindia.com/stock-share-price/shah-alloys-ltd/shahalloys/513436/,Shah Alloys Limited,179.11
513438,RAJASTHAN AMBUJA INDUSTRIES LTD.,Delisted,Z,10.00,NA,,RAJAMBI,Equity,https://www.bseindia.com/stock-share-price/rajasthan-ambuja-industries-ltd/rajambi/513438/,Rajasthan Ambuja Industries Ltd,
513440,ANIK STEELS LTD.,Delisted,Z,10.00,NA,,ANIKSTL,Equity,https://www.bseindia.com/stock-share-price/anik-steels-ltd/anikstl/513440/,Anik Steels Ltd,
513442,SWEATAMBER STEEL LTD.,Delisted,P,10.00,,,SWETAST,Equity,https://www.bseindia.com/stock-share-price/sweatamber-steel-ltd/swetast/513442/,Sweatamber Steels Ltd,0.58
513446,JSW Ispat Special Products Ltd,Suspended,B,10.00,INE743C01021,Iron & Steel Products,JSWISPL,Equity,https://www.bseindia.com/stock-share-price/jsw-ispat-special-products-ltd/jswispl/513446/,JSW ISPAT SPECIAL PRODUCTS LIMITED,1829.83
513448,GANESH FOUNDRY & CASTINGS LTD.,Delisted,P,10.00,INE449U01019,Other Industrial Products,GANFNDR,Equity,https://www.bseindia.com/stock-share-price/ganesh-foundry--castings-ltd/ganfndr/513448/,Ganesh Foundry & Castings Ltd,
513450,MARDIA COPPER PRODUCTS LTD.,Delisted,Z,10.00,NA,,MRDIACO,Equity,https://www.bseindia.com/stock-share-price/mardia-copper-products-ltd/mrdiaco/513450/,Mardia Copper Products Ltd.,
513452,ELANGO INDUSTRIES LTD.,Active,XT,10.00,INE594D01018,Iron & Steel Products,ELANGO,Equity,https://www.bseindia.com/stock-share-price/elango-industries-ltd/elango/513452/,Elango Industries Ltd,3.42
